area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
49.75,2,,4,1960,51.7868874,19.4443751,0.93,17,0.256,0.67,0.3,0.134,0.125,0.202,0.089,1,1,1,1,1,290000,2023,8
72.52,4,,4,1920,51.7623451,19.4578512,2.14,59,0.073,0.376,0.646,0.195,0.077,0.681,0.305,1,1,1,1,1,525000,2023,8
82.28,5,1,2,1923,51.7623451,19.4578512,2.14,59,0.073,0.376,0.646,0.195,0.077,0.681,0.305,1,1,1,1,0,760000,2023,8
40,2,1,4,,51.7355,19.4846,5.51,23,0.044,0.802,0.282,0.166,0.299,1.286,0.33,1,1,1,1,1,265000,2023,8
66.5,3,3,3,2012,51.76452,19.47697,2.43,15,0.134,0.417,0.815,0.137,0.312,0.669,0.222,1,1,1,1,0,698000,2023,8
41.34,3,5,5,2023,51.747274,19.4716216,3.98,6,0.076,0.22,0.905,0.43,0.533,0.979,0.312,1,1,1,1,0,434070,2023,8
49.86,3,6,7,2023,51.7605719,19.4582415,2.34,45,0.13,0.203,0.49,0.256,0.019,0.743,0.143,1,1,1,1,1,523530,2023,8
30.25,2,5,6,2023,51.7507375,19.5153946,5.4,0,0.661,0.696,1.018,0.699,0.715,2.365,0.769,1,1,1,1,0,320650,2023,8
46.55,2,4,10,1971,51.7974,19.39,4.79,14,0.201,3.248,0.473,0.313,0.116,0.968,0.147,1,1,1,1,1,329000,2023,8
38.63,2,6,10,2018,51.7785885,19.4855869,2.14,14,0.34,1.073,0.428,0.385,0.167,0.635,0.297,1,1,1,1,0,417204,2023,8
36.74,2,4,4,1970,51.7389985,19.5033932,5.79,10,0.154,1.882,0.617,0.097,0.341,2.622,0.199,1,1,1,1,1,209000,2023,8
42.42,2,,4,1977,51.74839515,19.39670563,5.43,25,0.342,0.227,0.474,0.36,0.185,3.879,0.063,1,1,1,1,1,299000,2023,8
